Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Browser	Browser Version	Device	Platform Version	Territory	Counts
2026-04-26	Rewire	6759087214	Page view	Product page	Unavailable		Chrome	145	Desktop	macOS 10.15.7	JO	1
2026-04-26	Rewire	6759087214	Page view	Product page	Unavailable		Chrome	145	Desktop	macOS 10.15.7	TJ	1
