Date	App Name	App Apple Identifier	State Metric	Subscription Name	Subscription Identifier	Subscription Duration	Billing Frequency	Billing Period	Subscription Group	Subscription Group Identifier	Offer Type	Offer Name	Offer ID	Vanity Code	Offer Pricing	Offer Duration	Family Sharing	Cancellation Reason	App Download Source Type	App Download Source Info	Campaign	Page Type	Page Title	Pre-Order	Original Purchase Device	Territory	Counts
2026-05-25	Rewire	6759087214	Voluntary churn	Rewire Pro Annual Full Price	6759788606	1 year	Unknown		Rewire Pro	21930700							Individual	Turned off auto-renew	App Store search			No page	No page		iPhone	JP	6
2026-05-24	Rewire	6759087214	Voluntary churn	Rewire Pro Annual Full Price	6759788606	1 year	Unknown		Rewire Pro	21930700							Individual	Turned off auto-renew	App Store search			No page	No page		iPhone	JP	5
