Date	App Name	App Apple Identifier	Current Group Subscription	Current Subscription Group Identifier	Current Subscription	Current Subscription Identifier	Event	Page	Retention Message Type	Message Selection Type	Save Type	Device	Platform Version	Territory	Counts
2026-05-26	Rewire	6759087214	Rewire Pro	21930700	Rewire Pro Annual Full Price	6759788606	Page views	Cancel Sheet	No message			iPhone	iOS 26.4	JP	1
2026-05-26	Rewire	6759087214	Rewire Pro	21930700	Rewire Pro Annual Full Price	6759788606	Cancels	Cancel Sheet	No message			iPhone	iOS 26.4	JP	1
