Event Date	App Name	App Apple Identifier	Event Group	Event Name	Subscription Name	Subscription Identifier	Subscription Duration	Billing Frequency	Billing Period	Subscription Group	Subscription Group Identifier	Offer Type	Offer Name	Offer ID	Vanity Code	Offer Pricing	Offer Duration	Plan Change Type	Previous Subscription Name	Previous Subscription Identifier	Family Sharing	Cancellation Reason	Churn Tenure	Paid Service Days Recovered	App Download Source Type	Page Type	Pre-Order	Original Purchase Device	Territory	Counts
2026-05-29	Rewire	6759087214	Voluntary churn	Voluntary churn from free trial	Rewire Pro Annual Full Price	6759788606	1 year	Annual		Rewire Pro	21930700	Introductory offer				Free trial	3 days		Rewire Pro Annual Full Price	6759788606	Individual	Turned off auto-renew			App Store search	No page		iPhone	JP	1
2026-05-27	Rewire	6759087214	Offer start	Free trial start activation	Rewire Pro Annual Full Price	6759788606	1 year	Annual		Rewire Pro	21930700	Offer code	SNS_Campaign_2026_Free1Year	5e8bde68-12aa-4b07-8a09-3154f0a555af	REWIRE2026	Free trial	1 year				Individual				App Store browse	No page		iPhone	JP	1
